specialtyCode,specialtyName,branchCode,branchName,documentCode,documentName,categoryCode,categoryName,isRequired
182.106,대형기동헬기정비,1,육군,04,군사특기 관련 경력(개인/법인업체근무)증명서,,기술행정병,true
182.106,대형기동헬기정비,1,육군,34,독립유공자증명서,,기술행정병,true
182.108,헬기기관정비,1,육군,03,자격면허증 사본,,기술행정병,true
182.109,헬기계기정비,1,육군,17,국가유공자증명서,,기술행정병,true
182.109,헬기계기정비,1,육군,34,독립유공자증명서,,기술행정병,true
182.109,헬기계기정비,1,육군,44,사회봉사활동 증명서(접수마감일 기준 3년이내)-(사회복지시설 봉사),,기술행정병,true
182.110,헬기무장정비,1,육군,34,독립유공자증명서,,기술행정병,true
182.111,항공통신전자정비,1,육군,07,수상(전국/도/지역대회)증명서,,기술행정병,true
34,군견관리병,3,공군,01,"최종학교재학(휴학,퇴학,수료,졸업)증명서",,군견관리병,true
35,기독교군종병,3,공군,01,"최종학교재학(휴학,퇴학,수료,졸업)증명서",,군종병,true
35,기독교군종병,3,공군,08,고교생활기록부 사본,,군종병,true
35,기독교군종병,3,공군,10,어학성적증명서,,군종병,true
35,기독교군종병,3,공군,44,사회봉사활동 증명서(접수마감일 기준 3년이내)-(사회복지시설 봉사),,군종병,true
36,불교군종병,3,공군,01,"최종학교재학(휴학,퇴학,수료,졸업)증명서",,군종병,true
36,불교군종병,3,공군,03,자격면허증 사본,,군종병,true
36,불교군종병,3,공군,04,군사특기 관련 경력(개인/법인업체근무)증명서,,군종병,true
36,불교군종병,3,공군,10,어학성적증명서,,군종병,true
36,불교군종병,3,공군,17,국가유공자증명서,,군종병,true
36,불교군종병,3,공군,25,경력증명서,,군종병,true
36,불교군종병,3,공군,43,소속사찰 주지스님 또는 교구장 추천서,,군종병,true
36,불교군종병,3,공군,34,독립유공자증명서,,군종병,true
36,불교군종병,3,공군,44,사회봉사활동 증명서(접수마감일 기준 3년이내)-(사회복지시설 봉사),,군종병,true
36,불교군종병,3,공군,49,한국사 또는 한국어능력검정인증서(성적표 등),,군종병,true
37,천주교군종병,3,공군,01,"최종학교재학(휴학,퇴학,수료,졸업)증명서",,군종병,true
37,천주교군종병,3,공군,03,자격면허증 사본,,군종병,true
37,천주교군종병,3,공군,08,고교생활기록부 사본,,군종병,true
37,천주교군종병,3,공군,25,경력증명서,,군종병,true
37,천주교군종병,3,공군,34,독립유공자증명서,,군종병,true
37,천주교군종병,3,공군,40,본당신부추천서,,군종병,true
37,천주교군종병,3,공군,42,소속본당 주임신부/수도자 추천서,,군종병,true
37,천주교군종병,3,공군,38,종교활동증명서(성직자자필서명 포함),,군종병,true
38,변리사 및 지식재산,3,공군,08,고교생활기록부 사본,,지식재산관리병,true
38,변리사 및 지식재산,3,공군,34,독립유공자증명서,,지식재산관리병,true
38,변리사 및 지식재산,3,공군,44,사회봉사활동 증명서(접수마감일 기준 3년이내)-(사회복지시설 봉사),,지식재산관리병,true
17.01,일반,4,해병,52,헌혈증서(접수마감일 기준 3년이내),,일반기술/전문기술병,true
17.04,수색,4,해병,52,헌혈증서(접수마감일 기준 3년이내),,일반기술/전문기술병,true
17.05,화학,4,해병,52,헌혈증서(접수마감일 기준 3년이내),,일반기술/전문기술병,true
19.03,공병,4,해병,52,헌혈증서(접수마감일 기준 3년이내),,일반기술/전문기술병,true
23.01,무기정비,4,해병,52,헌혈증서(접수마감일 기준 3년이내),,일반기술/전문기술병,true
27.03,정보통신,4,해병,52,헌혈증서(접수마감일 기준 3년이내),,일반기술/전문기술병,true
29.03,조리,4,해병,52,헌혈증서(접수마감일 기준 3년이내),,일반기술/전문기술병,true
32.01,수송,4,해병,52,헌혈증서(접수마감일 기준 3년이내),,일반기술/전문기술병,true
11,일반,2,해군,52,헌혈증서(접수마감일 기준 3년이내),,일반기술/전문기술병,true
11.02,전산,2,해군,52,헌혈증서(접수마감일 기준 3년이내),,일반기술/전문기술병,true
11.03,이발,2,해군,52,헌혈증서(접수마감일 기준 3년이내),,일반기술/전문기술병,true
11.05,조리,2,해군,52,헌혈증서(접수마감일 기준 3년이내),,일반기술/전문기술병,true
11.24,항공,2,해군,52,헌혈증서(접수마감일 기준 3년이내),,일반기술/전문기술병,true
11.26,전자,2,해군,52,헌혈증서(접수마감일 기준 3년이내),,일반기술/전문기술병,true
25,통신,2,해군,52,헌혈증서(접수마감일 기준 3년이내),,일반기술/전문기술병,true
43,기관,2,해군,52,헌혈증서(접수마감일 기준 3년이내),,일반기술/전문기술병,true
43.39,화생방,2,해군,52,헌혈증서(접수마감일 기준 3년이내),,일반기술/전문기술병,true
43.44,전기,2,해군,52,헌혈증서(접수마감일 기준 3년이내),,일반기술/전문기술병,true
46,건축/토목,2,해군,52,헌혈증서(접수마감일 기준 3년이내),,일반기술/전문기술병,true
48,수송,2,해군,52,헌혈증서(접수마감일 기준 3년이내),,일반기술/전문기술병,true
49,의무,2,해군,52,헌혈증서(접수마감일 기준 3년이내),,일반기술/전문기술병,true
802,동반_갑판,2,해군,52,헌혈증서(접수마감일 기준 3년이내),,동반입대병,true
803,동반_군사경찰,2,해군,52,헌혈증서(접수마감일 기준 3년이내),,동반입대병,true
901,유급_일반,2,해군,52,헌혈증서(접수마감일 기준 3년이내),,임기제부사관,true
902,유급_기관,2,해군,52,헌혈증서(접수마감일 기준 3년이내),,임기제부사관,true
904,유급_전기,2,해군,52,헌혈증서(접수마감일 기준 3년이내),,임기제부사관,true
11,일반,3,공군,52,헌혈증서(접수마감일 기준 3년이내),,전문기술병,true
15,전자계산,3,공군,52,헌혈증서(접수마감일 기준 3년이내),,전문기술병,true
16,화생방,3,공군,52,헌혈증서(접수마감일 기준 3년이내),,전문기술병,true
17,의무,3,공군,52,헌혈증서(접수마감일 기준 3년이내),,전문기술병,true
18,기계,3,공군,52,헌혈증서(접수마감일 기준 3년이내),,전문기술병,true
19,차량운전,3,공군,52,헌혈증서(접수마감일 기준 3년이내),,전문기술병,true
20,차량정비,3,공군,52,헌혈증서(접수마감일 기준 3년이내),,전문기술병,true
21,통신전자전기,3,공군,52,헌혈증서(접수마감일 기준 3년이내),,전문기술병,true
22,공병,3,공군,52,헌혈증서(접수마감일 기준 3년이내),,전문기술병,true
26,어학병,3,공군,52,헌혈증서(접수마감일 기준 3년이내),,어학병,true
26,어학병,3,공군,44,사회봉사활동 증명서(접수마감일 기준 3년이내)-(사회복지시설 봉사),,어학병,true
26,어학병,3,공군,48,다자녀가정자녀 부모의 가족관계증명서,,어학병,true
34,군견관리병,3,공군,52,헌혈증서(접수마감일 기준 3년이내),,군견관리병,true
34,군견관리병,3,공군,48,다자녀가정자녀 부모의 가족관계증명서,,군견관리병,true
40,정훈병,3,공군,17,국가유공자증명서,,정훈병,true
40,정훈병,3,공군,06,자격증 사본,,정훈병,true
40,정훈병,3,공군,52,헌혈증서(접수마감일 기준 3년이내),,정훈병,true
40,정훈병,3,공군,44,사회봉사활동 증명서(접수마감일 기준 3년이내)-(사회복지시설 봉사),,정훈병,true
40,정훈병,3,공군,08,고교생활기록부 사본,,정훈병,true
40,정훈병,3,공군,48,다자녀가정자녀 부모의 가족관계증명서,,정훈병,true
40,정훈병,3,공군,45,"1차선발 군사특기 관련 학력(재학,휴학,퇴학,수료,졸업)증명서",,정훈병,false
41,콘텐츠제작병,3,공군,45,"1차선발 군사특기 관련 학력(재학,휴학,퇴학,수료,졸업)증명서",,콘텐츠제작병,true
41,콘텐츠제작병,3,공군,04,군사특기 관련 경력(개인/법인업체근무)증명서,,콘텐츠제작병,true
41,콘텐츠제작병,3,공군,08,고교생활기록부 사본,,콘텐츠제작병,true
41,콘텐츠제작병,3,공군,10,어학성적증명서,,콘텐츠제작병,true
41,콘텐츠제작병,3,공군,48,다자녀가정자녀 부모의 가족관계증명서,,콘텐츠제작병,true
41,콘텐츠제작병,3,공군,52,헌혈증서(접수마감일 기준 3년이내),,콘텐츠제작병,true
41,콘텐츠제작병,3,공군,17,국가유공자증명서,,콘텐츠제작병,true
42,식별보조병,3,공군,10,어학성적증명서,,식별보조병,true
42,식별보조병,3,공군,08,고교생활기록부 사본,,식별보조병,true
42,식별보조병,3,공군,44,사회봉사활동 증명서(접수마감일 기준 3년이내)-(사회복지시설 봉사),,식별보조병,true
42,식별보조병,3,공군,52,헌혈증서(접수마감일 기준 3년이내),,식별보조병,true
42,식별보조병,3,공군,48,다자녀가정자녀 부모의 가족관계증명서,,식별보조병,true
42,식별보조병,3,공군,17,국가유공자증명서,,식별보조병,true
43,이발병,3,공군,03,자격면허증 사본,,이발병,true
43,이발병,3,공군,08,고교생활기록부 사본,,이발병,true
43,이발병,3,공군,10,어학성적증명서,,이발병,true
43,이발병,3,공군,48,다자녀가정자녀 부모의 가족관계증명서,,이발병,true
43,이발병,3,공군,49,한국사 또는 한국어능력검정인증서(성적표 등),,이발병,true
43,이발병,3,공군,52,헌혈증서(접수마감일 기준 3년이내),,이발병,true
44,전문자격의무병,3,공군,03,자격면허증 사본,,전문자격의무병,true
44,전문자격의무병,3,공군,08,고교생활기록부 사본,,전문자격의무병,true
