specialtyCode,specialtyName,branchName,recruitTypeName,recruitYear,recruitRound,selectionQuota,applicantCount,shortageCount,competitionRate,applicationStartAt,applicationEndAt,enlistStartMonth,enlistEndMonth,enlistDate
17.01,일반,해병,일반기술/전문기술병,2026,106,450,0,-450,0,20260716,20260722,202609,202609,*
32.01,수송,해병,일반기술/전문기술병,2026,106,100,0,-100,0,20260716,20260722,202609,202609,*
A001,동반입대병,육군,동반입대병,2026,206,72,0,-72,0,20260715,20260721,202609,202609,*
A001,동반입대병,육군,동반입대병,2026,206,8,0,-8,0,20260715,20260721,202609,202609,*
A001,동반입대병,육군,동반입대병,2026,206,22,0,-22,0,20260715,20260721,202609,202609,*
A001,동반입대병,육군,동반입대병,2026,206,78,0,-78,0,20260715,20260721,202609,202609,*
A001,동반입대병,육군,동반입대병,2026,206,46,0,-46,0,20260715,20260721,202609,202609,*
P000291,카투사,육군,카투사,2026,1,167,0,-167,0,20260709,20260715,202701,202712,202712
P000291,카투사,육군,카투사,2026,1,167,0,-167,0,20260709,20260715,202701,202712,202707
P000291,카투사,육군,카투사,2026,1,167,0,-167,0,20260709,20260715,202701,202712,202708
P000291,카투사,육군,카투사,2026,1,167,0,-167,0,20260709,20260715,202701,202712,202710
P000291,카투사,육군,카투사,2026,1,167,0,-167,0,20260709,20260715,202701,202712,202703
P000291,카투사,육군,카투사,2026,1,167,0,-167,0,20260709,20260715,202701,202712,202701
P000291,카투사,육군,카투사,2026,1,167,0,-167,0,20260709,20260715,202701,202712,202709
P000291,카투사,육군,카투사,2026,1,167,0,-167,0,20260709,20260715,202701,202712,202702
P000291,카투사,육군,카투사,2026,1,167,0,-167,0,20260709,20260715,202701,202712,202704
P000291,카투사,육군,카투사,2026,1,167,0,-167,0,20260709,20260715,202701,202712,202705
P000291,카투사,육군,카투사,2026,1,167,0,-167,0,20260709,20260715,202701,202712,202711
62,해군과학기술연구병,해군,해군과학기술연구병,2026,7,2,0,-2,0,20260626,20260702,202610,202610,*
57,미디어병,해군,미디어병,2026,7,3,13,10,4.3,20260626,20260702,202610,202610,*
19,차량운전,공군,전문기술병,2026,7,161,528,367,3.3,20260626,20260702,202610,202610,*
21,통신전자전기,공군,전문기술병,2026,7,195,319,124,1.6,20260626,20260702,202610,202610,*
16,화생방,공군,전문기술병,2026,7,34,57,23,1.7,20260626,20260702,202610,202610,*
15,전자계산,공군,전문기술병,2026,7,3,68,65,22.7,20260626,20260702,202610,202610,*
17,의무,공군,전문기술병,2026,7,10,76,66,7.6,20260626,20260702,202610,202610,*
20,차량정비,공군,전문기술병,2026,7,29,36,7,1.2,20260626,20260702,202610,202610,*
18,기계,공군,전문기술병,2026,7,147,209,62,1.4,20260626,20260702,202610,202610,*
24,의장병,공군,의장병,2026,7,16,23,7,1.4,20260626,20260702,202610,202610,*
